"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6823","verify Cat1","chromium","2026-07-21","passed","2026-07-21","","rsEcom.spec.ts","",""
"","1297","Post Method","chromium","2026-07-20","passed","2026-07-20","","playwrightAPI.spec.ts","",""
"","29099","Data Driven Testing rahulshettyacademy and Learning@8","chromium","2026-07-18","failed","2026-07-18","","dataDrivenTesting.spec.ts","",""
"","2719","upload","chromium","2026-07-18","passed","2026-07-18","","fileupload.spec.ts","",""
"","1534","API TESTING","chromium","2026-07-20","passed","2026-07-20","","playwrightAPI.spec.ts","",""
"","7860","Data Driven Testing and","chromium","2026-07-18","failed","2026-07-18","","dataDrivenTesting.spec.ts","",""
"","29465","Data Driven Testing rahulshetty and Learning@830$3mK2","chromium","2026-07-18","failed","2026-07-18","","dataDrivenTesting.spec.ts","",""
"","29130","Data Driven Testing and Learning@830$3mK2","chromium","2026-07-18","failed","2026-07-18","","dataDrivenTesting.spec.ts","",""
"","42047","Data Driven Testing rahulshettyacademy and Learning@830$3mK2","chromium","2026-07-18","passed","2026-07-18","","dataDrivenTesting.spec.ts","",""
"","33139","fills form fields and verifies values","chromium","2026-07-18","broken","2026-07-18","Data Entry Form","dataEntryForm.spec.ts","",""
"","9958","download @smoke","chromium","2026-07-18","passed","2026-07-18","","fileupload.spec.ts","",""
"","7082","POM","chromium","2026-07-21","passed","2026-07-21","","rsEcom.spec.ts","",""
